,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
KLHL2,False,False,193,0.12073946,88.85037550548816,209.0,False,0.12328991855296849,0.27934071599966376,0.0067247027
GK3P,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
MSMO1,False,False,97,0.058347777,94.39630271519353,101.0,False,0.057882107573084124,0.5925253947443211,0.48758414
CPE,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.0011260352929859504,-1.0108370422713733,-1.9741964
AC080079.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC01179,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TLL1,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.0018379767981388038,-0.5205184621445355,-1.2213681
AC097487.1,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.0011047396034073215,-1.0299408242851924,-2.003528
SPOCK3,False,False,106,0.06932409,93.87637203928365,120.0,True,0.06662184978496609,1.3204224858939584,1.6051873
AC079349.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC116634.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
ANXA10,False,False,2,0.0011554015,99.8844598497978,2.0,False,9.999999999995e-13,,
AC068989.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
DDX60,False,False,148,0.09069902,91.45002888503755,157.0,False,0.08974100203874642,0.255795522583697,-0.029426262
DDX60L,False,False,161,0.10167533,90.69901790872328,176.0,False,0.06964287205501542,0.7398458274263021,0.7137779
PALLD,False,False,74,0.04621606,95.72501444251877,80.0,False,0.035231075625585306,0.37246152846779285,0.14970112
AC079858.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC080188.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
CBR4,False,False,328,0.2328134,81.05141536683998,403.0,False,0.28669356041960586,0.5414216684209918,0.11542132
AC021151.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
SH3RF1,False,False,365,0.25303292,78.91392258809937,438.0,False,0.18701147955436062,0.5594945896604516,0.43686908
AC096741.1,False,False,13,0.00751011,99.24898902368572,13.0,False,0.004349008451425355,-0.2936442106492213,-0.87302846
NEK1,False,False,320,0.2310803,81.51357596764875,400.0,False,0.1764251680291586,0.30440955522193186,0.04521505
AC084724.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
CLCN3,False,False,107,0.067013286,93.81860196418256,116.0,False,0.09695149253966577,0.5743256538522328,0.4596405
HPF1,False,False,463,0.37666088,73.25245522819179,652.0,False,0.3449399299975928,-0.1761869568515688,-1.4780928
AC079768.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC079768.4,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02275,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.012249410812943885,1.3815058488215886,1.6989738
AC079768.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC084866.2,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
AC084866.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
MFAP3L,False,False,8,0.004621606,99.53783939919121,8.0,False,0.009098802699543879,-0.2148956253263047,-0.75211895
AADAT,False,False,39,0.024841132,97.74696707105718,43.0,False,0.007224479428330688,0.15901745026940242,-0.17801797
LINC01612,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
LINC02512,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02382,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC034159.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02431,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02504,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC074254.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02174,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
AC074254.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
GALNTL6,False,False,34,0.02310803,98.03581744656267,40.0,False,0.02351862442835,0.34687801328683626,0.11042053
AC105285.1,False,False,60,0.036395147,96.53379549393414,63.0,False,0.03245041337300742,0.266865698310279,-0.012429267
GALNT7,False,False,564,0.45522818,67.41767764298093,788.0,False,0.4038737810125377,0.473923532134709,-0.034464326
AC097534.1,False,False,10,0.0057770074,99.42229924898902,10.0,False,0.006017726078246348,0.24218160025027002,-0.05032889
HMGB2,False,False,1479,6.8370886,14.558058925476603,11835.0,False,2.29962966770781,1.7078002812684465,0.42709753
AC097534.2,False,False,74,0.04390526,95.72501444251877,76.0,False,0.04751807745842449,0.7938871939098883,0.7967523
SAP30,False,False,175,0.12247256,89.89023685730791,212.0,False,0.1364311005542475,-0.2870034897917546,-0.86283237
SCRG1,False,False,3,0.0017331023,99.8266897746967,3.0,False,9.999999999995e-13,,
AC093849.4,False,False,12,0.00751011,99.30675909878683,13.0,False,0.0034360218647858393,-0.5392089003508105,-1.2500651
AC093849.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
