,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
KAT14,False,False,53,0.03177354,96.93818601964182,55.0,True,0.053324135248139504,1.0721997891415396,1.2240696
SLC24A3,False,False,277,0.35990757,83.99768919699595,623.0,True,0.5194539033571536,1.1872592751389284,1.5495614
RIN2,False,False,155,0.11034084,91.04563835932986,191.0,True,0.09787715088614364,1.3199166225883312,1.6044105
KIZ,False,False,278,0.18775274,83.93991912189486,325.0,True,0.20026296930941584,1.1096973517613604,1.2816428
NINL,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.009360594524854503,1.1110897750700668,1.2837807
ID1,False,False,210,0.2357019,87.8682842287695,408.0,True,0.3027417333883701,2.572773997258321,4.6262207
TM9SF4,False,False,532,0.3916811,69.26632004621607,678.0,True,0.35185627841359196,1.23796893819855,1.6621667
KIF3B,False,False,116,0.06874639,93.29867128827267,119.0,True,0.10920389913189019,1.357088638577782,1.661484
CBFA2T2,False,False,299,0.19988446,82.72674754477181,346.0,True,0.20914361958425928,1.3321858025646236,1.6232485
ZNF341,False,False,40,0.023685731,97.6891969959561,41.0,True,0.046961228882484024,1.1957341787393008,1.4137425
MYH7B,False,False,8,0.004621606,99.53783939919121,8.0,True,0.01602058807978426,1.403235522458716,1.7323372
PROCR,False,False,73,0.045060657,95.78278451761987,78.0,True,0.03951176940859835,1.0664968531336023,1.2153133
GDF5,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.011850853068939904,1.348228204634326,1.6478798
PPP1R16B,False,False,788,0.9127672,54.47718082033506,1580.0,True,0.5687092392372093,1.4237982260116244,1.6653073
OSER1,False,False,419,0.28480646,75.7943385326401,493.0,True,0.23977982150631752,1.0816019602390439,1.2385055
CCN5,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.016997441073669226,1.7114705902625313,2.2055972
AL008725.1,False,False,3,0.0017331023,99.8266897746967,3.0,True,0.016997441073669226,1.7114705902625313,2.2055972
UBE2C,False,False,293,0.73425764,83.07336799537839,1271.0,True,0.7087710723807933,1.6978331483869187,2.191789
AL162458.1,False,False,44,0.026574235,97.4581166955517,46.0,True,0.036666306906136426,1.308961464635154,1.5875902
PTGIS,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.009417543497649178,1.117183739623988,1.2931373
PTPN1,False,False,457,0.33391103,73.59907567879837,578.0,True,0.3493941363300885,1.0807625165740349,1.3130759
NFATC2,False,False,575,0.4471404,66.78220681686886,774.0,True,0.38649653523973493,1.2691078327481355,1.7313135
SALL4,False,False,12,0.006932409,99.30675909878683,12.0,True,0.01308280287828285,1.4477441661540535,1.8006753
CASS4,False,False,83,0.06759099,95.2050837666089,117.0,True,0.10354350366700585,1.311787253283459,1.5919288
AL109955.1,False,False,8,0.004621606,99.53783939919121,8.0,True,0.022360110626431767,1.3733929203720325,1.6865174
RBM38,False,False,235,0.18139803,86.42403235124205,314.0,True,0.31508889874671986,1.2290804350558917,1.642429
ZBP1,False,False,3,0.0017331023,99.8266897746967,3.0,True,0.014146930690334297,1.5264765295490335,1.9215598
HELZ2,False,False,59,0.03755055,96.59156556903524,65.0,True,0.08029627836638516,1.1265765351906987,1.3075589
MHENCR,False,False,159,0.10167533,90.81455805892547,176.0,True,0.09821785385641811,1.0968658817830133,1.2619416
LKAAEAR1,False,False,153,0.09936453,91.16117850953206,172.0,True,0.05425520928480061,1.2044165335925947,1.4270734
LIPI,False,False,12,0.006932409,99.30675909878683,12.0,True,0.018061803896173016,1.2916377039721325,1.5609915
