group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,SMNDC1,-2.7751682,-0.748651,0.0055173170545036775,0.0631455039124106,0.13978494623655913,0.3695652173913043
0,MKNK2,-2.776484,-2.120206,0.00549503332977712,0.06294951953150935,0.03225806451612903,0.23478260869565218
0,THUMPD3,-2.7777998,-0.787235,0.005472830869860725,0.06271480359041089,0.08602150537634409,0.30434782608695654
0,IWS1,-2.7791157,-0.5426502,0.005450709416699682,0.06248086920157377,0.20430107526881722,0.4652173913043478
0,NT5M,-2.7791157,-0.9069211,0.005450709416699682,0.06248086920157377,0.11827956989247312,0.3391304347826087
0,CYB561D2,-2.7791157,-1.3879449,0.005450709416699682,0.06248086920157377,0.08602150537634409,0.2956521739130435
0,LNX2,-2.7804317,-0.96591735,0.005428668712900653,0.062286740928174544,0.06451612903225806,0.2782608695652174
0,PLCXD1,-2.7804317,-1.184128,0.005428668712900653,0.062286740928174544,0.08602150537634409,0.2956521739130435
0,PROSER1,-2.7804317,-2.2712593,0.005428668712900653,0.062286740928174544,0.03225806451612903,0.23478260869565218
0,NUP58,-2.7817476,-0.37509444,0.005406708501730763,0.062093171594555276,0.25806451612903225,0.5391304347826087
0,CTR9,-2.7824054,-0.36049393,0.005395758500833031,0.06198686656904889,0.12903225806451613,0.3695652173913043
0,DEPDC1B,-2.7830634,-0.6192134,0.005384828527116457,0.06188072493594644,0.12903225806451613,0.3652173913043478
0,PIEZO1,-2.7830634,-0.9241352,0.005384828527116457,0.06188072493594644,0.11827956989247312,0.3347826086956522
0,SMIM10L1,-2.7837212,-0.50505596,0.005373918548674689,0.06179415419416974,0.23655913978494625,0.5173913043478261
0,CLPTM1,-2.7843792,-0.6063543,0.0053630285336424555,0.061688311552434795,0.11827956989247312,0.34782608695652173
0,SNHG1,-2.788327,-0.42001596,0.005298105895760926,0.060960695973198885,0.3225806451612903,0.6434782608695652
0,ARSB,-2.7896428,-0.94928235,0.005276623285822949,0.06073260656742319,0.08602150537634409,0.30434782608695654
0,MTF2,-2.7903006,-0.42584538,0.0052659115142997944,0.06062838230100244,0.34408602150537637,0.691304347826087
0,UBR4,-2.7903006,-0.6583474,0.0052659115142997944,0.06062838230100244,0.15053763440860216,0.3869565217391304
0,MGME1,-2.7922745,-1.0071018,0.005233893956158929,0.06029768734320835,0.0967741935483871,0.3130434782608696
0,ZNF410,-2.7935903,-0.43048936,0.005212646734106794,0.060071814582822035,0.1935483870967742,0.45217391304347826
0,ECPAS,-2.7949061,-0.29100767,0.005191477473440576,0.05988442073917381,0.27956989247311825,0.6173913043478261
0,BUB1B,-2.7949061,-1.2497139,0.005191477473440576,0.05988442073917381,0.06451612903225806,0.2782608695652174
0,METTL1,-2.7988539,-1.0486839,0.005128434967597615,0.059250583411944543,0.10752688172043011,0.33043478260869563
0,MSH6,-2.8008275,-0.5279479,0.005097173896989736,0.058908008147685924,0.17204301075268819,0.4217391304347826
0,FKBP11,-2.8008275,-0.95159876,0.005097173896989736,0.058908008147685924,0.12903225806451613,0.3521739130434783
0,CLASP1,-2.8014855,-0.5515523,0.005086791879649966,0.05882517206542445,0.16129032258064516,0.40869565217391307
0,SUDS3,-2.8041172,-0.8826756,0.005045454687696795,0.05836557744133704,0.0967741935483871,0.3130434782608696
0,KATNB1,-2.8047752,-1.1447979,0.0050351679557157445,0.05826499599973189,0.08602150537634409,0.3
0,HCFC1R1,-2.8047752,-0.701443,0.0050351679557157445,0.05826499599973189,0.12903225806451613,0.36086956521739133
0,C1orf122,-2.806749,-0.55707157,0.00500442142892901,0.05794584900988,0.13978494623655913,0.3739130434782609
0,SURF6,-2.806749,-0.90409786,0.00500442142892901,0.05794584900988,0.0967741935483871,0.3217391304347826
0,RAB5A,-2.8093808,-0.36653486,0.004963690150774543,0.05752882305525619,0.20430107526881722,0.4652173913043478
0,PITPNB,-2.8100388,-0.4165778,0.004953554287861618,0.0574295345232889,0.27956989247311825,0.5695652173913044
0,MAPKAPK5,-2.8100388,-0.68094003,0.004953554287861618,0.0574295345232889,0.15053763440860216,0.3869565217391304
0,ANKLE2,-2.8113546,-0.2716686,0.0049333386980966775,0.05723141986974215,0.15053763440860216,0.4043478260869565
0,FBL,-2.8120124,-0.6947315,0.004923258910863465,0.057132593340682845,0.6236559139784946,0.8869565217391304
0,AL157895.1,-2.8133283,-2.6366043,0.004903155201039633,0.05691734332802144,0.043010752688172046,0.24347826086956523
0,SLC22A23,-2.8146443,-26.800213,0.004883125776993018,0.05672081452355489,0.0,0.2
0,RBBP5,-2.8146443,-2.957176,0.004883125776993018,0.05672081452355489,0.010752688172043012,0.21304347826086956
0,CTSE,-2.8146443,-26.659664,0.004883125776993018,0.05672081452355489,0.0,0.2
0,GAD1,-2.8146443,-26.591394,0.004883125776993018,0.05672081452355489,0.0,0.2
0,CCDC169,-2.8146443,-26.615541,0.004883125776993018,0.05672081452355489,0.0,0.2
0,EEF2KMT,-2.8146443,-26.513748,0.004883125776993018,0.05672081452355489,0.0,0.2
0,TRIM27,-2.8153021,-0.76246893,0.004873138847129493,0.056712799664161075,0.06451612903225806,0.2826086956521739
0,TNIP2,-2.8159602,-3.147607,0.004863170398781192,0.05661479000184173,0.010752688172043012,0.21304347826086956
